negationHandled,sentiment
kemarin harvey moies sekarang danantara yang gambling bro were doomed,Netral
justru bakal jadi sarang baru bang banyak potongan kue dan remahan nya lah dsna wkwk lahannya juga becek bakal menggenang malah tetapi biasanya juga sih bakal jadi sarang kuman virus dan bakteri juga nt yah smoga saja tidak pada kena penyakit itu mrk nt sudah pada siap apa dimintain ptgjwbn diakhirat wkwk,Negatif
kabar nya pengawas nya bakal mulyono bang ps yang bilang,Negatif
aahternyata mas dana malah ngidupin bini muda akhirnya harta ibu pertiwi hanguuusnangis karena harta di kuraas habis mringiiiis,Negatif
berhasil dikorupsi gagal pun dikorupsi pokoknya dikorupsi deh yakin,Negatif
suaranya jelek tidak enak di denger,Negatif
independen tidak mungkin jauh dari agenda poilitik juga tidak mungkin dari track recordnya disini soal kelola dana selalu ada big scandal not just a scandal but a big big big as scandal sebut saja asabri jiwasraya bpjs dana abadi umat dulu apalagi skandal ini selalu sistematis worst scenarionya bakalan jadi lumbung kartel selanjutnya tighten seatbelt and brace for impact any impact,Negatif
jengah,Netral
danantara ini isinya orang orang kompeten adik,Positif
kalau kalian kecewa pemerintah mulai sekarang simpan duit kalian di swasta entah di bank atau perusahaan swasta biar duit kalian tidak manfaatin sama pemerintah percuma bayar pajak dulu yang enak dan nikmati pejabatnya lama ngaco konoha ini,Negatif
on paper ide yang bagus tetapi selama instrumen hukum dan penegakannya tidak mencerminkan akuntabilitas boleh diprediksi endingnya seperti apa,Netral
wahai anak pertiwi kaburajaselamanya,Negatif
ketika judol dijadikan musuh yang harus diperangi sama akarakarnya tetapi saat ada kejanggalan dari itikad baik masih kamu ademin oke berpikir rasional itu baik karena tidak boleh menghukumi sesuatu yang belum terjadi tetapi saat naluri alamiah manusia untuk menghindaribertahan dari bahaya berhasil kita tumpulkan dengan akalakalan yang sudah amat jelas nampak maka potensi kegagalan menghadapi bahaya akan jauh lebih besar terjadi dibanding dengan keselamatan,Positif
ah inimah lahan baru buat korupshit,Netral
janganjangan papah dana kawin lagih eeh,Negatif
sudah saya gembar gemborkan sejak dulu bahwa koruptor itu saat otw dari tahanan ke persidangan kudu dibawa pake mobil box kaca supaya dia malu diliatin orang orang lalu hukumannya diseret pake truk pake rantai sambil dirajam sama masyarakat,Negatif
masukin danantara ke crypto seperti yang di lakukan beberapa negara di teluk arab sudah tidak akan boleh di korupsi tu dana karena sudah di kunci di sana diamkan selama beberapa tahun negara akan berjalan bahkan tanpa orang harus bayar pajak ini juga di lakukan oleh negara negara skandinavia finlandia dulu,Negatif
koruptor lahan basah baru ni,Negatif
pling ujung nya dana d rampok kya yang sudah,Netral
saya dengan bahasa keterangannya menjadi berasa saya itu guoblok,Netral
sumpah konsep penyampaian materinya keren banget harus banget dilanjut sih segmen bahasa bayi ini,Positif
lihat di toktok wowo minta yang mengawasi danantara ini wiwi bukan kpk waduuh,Negatif
kalau cing abdel blang ada dua model orang pinter satu yang bkin kita jadi paham dan lainnya bkin kita ngerasa jadi goblok,Negatif
setuju jalankan papa dana tetapi sahkan dulu undangundang perampasan aset untuk koruptor,Negatif
kalau tidak iya bigno,Negatif
alhamdulillah terimakasih bang ferry,Positif
alhamdulillah ada bahasa bayi saya memang bayi bang tidak ngerti apaapa tetapi mau tau juga,Netral
ada satu hal lagi bng yang belum kamu ceritain dalam pengoptimalisasian aset aset oleh yang dikelola sama si dana tidak boleh ahliwaris atau orang lain tidak boleh ngeaudit memantau data apakah aset dioptimasi dengan baik dan benar kalau pun ahliwaris itu mau nge audit atau mau memantau pekerjaan si dana dikerjain dengan bener atau tidak kudu laporan dulu sama bapak depri seorang yang diknal sebagai teman dekat ibu pertiwi dan bapak dana namun akhir akhir ini bliau sedang dihadapi isu yang tidak mengenakan,Positif
kira kalau efisiensi ada hubungan sama makan siang gratis adik,Positif
asal kalian tau saja penggagas diantara itu dia dia pakar ekonomi politik indonesia,Netral
kita indonesia sebenarnya tidak sebegitu kekurangan uang hanya saja pengelolaan dan pendistribusian uang tersebut lah yang memang sudah sangat menyimpang dimana kebutuhan yang wajib boleh di geser dengan kebutuhan yang tidak penting oleh raja kecil agar kroninya tenang dan demi si penguasa agar terus kenyang sang garuda sedang terbelenggu oleh sang naga karena ulah penguasa dan raja kecil dimasa lalu bahkan hanya untuk mengepakan satu sayapnyapun bayar bunga hutang dan perawatan aset dia harus mengorbankan bulu nya berjatuhan kenaikan pajak yang mengorbankan rakyat mungkin memang benar belum ada pemimpin yang benar bejuang dan membangun seperti soekarno kuat dan berwibawa macan asia seperti soeharto jenius dan pemikiran masa depan seperti habibi tulus dan merangkul seperti gusdur semoga semakin gelap nya malam maka akan semakin dekat pula kita dengan sang fajar,Negatif
bang mau tanya ini danantara mau di masukininvest stock luar negeri atau bonds atau aset lainya,Negatif
yah paling juga dikorup ntar optimis cuma masih belum ada payung hukum soal koruptor liat saja masih banyak yang boleh jalan dan nyimpen duit koruptor di luar indo karena belum ada undang memiskinkan koruptor atau bahkan hukum mati saja koruptor dpr masih nolak mereka tau karena mereka sendiri iya begitu korup semua,Negatif
ibu pertiwi kan sudah lama sakit bang berkalikali jadi korban pemerkosaan pula tidakkah cukup sudah terakhir diperkosa habishabisan sama pak lurah kini mantan komandan security berniat apalagi dengan imingiming makan cilok geratis pusing saya akan endingnya pikiran fiksi ini,Negatif
di forum internasional prabowo mengatakan korupsi di indonesia sangat meresahkan eh ada mulyono rank occrp malah dipuji²,Negatif
konsep bagus asal dipimpin orang kompeten dan bersih dari korupsitw lah mana saja sekelas mentri siapa dari jaman sebelum ini yang tidak kompeten masih menjabat moga orang ini di resuffle bakal mpengaruhi kebijakan penggunaan aset indonesia,Positif
masih percaya sama negara,Positif
korupsi di negara saya sudah sangat mengkhawatirkan kata presiden ke indonesia tidak sampai minggu launching danantara namanya investasi rugi wajar lah legal juga,Negatif
bang fer buat partai malaka terus nyapres nanti saya coblos serius,Negatif
ketawanya bikin istighfar dan berdoa kuat² iya allah tolong ibu pertiwi,Netral
gokil sangat bayi sekali bahasanya bagus bang,Positif
mak jangan main investasi bodong mak,Netral
rakyatnya terjerat judol pemerintahnya juga mau gambling iya tuhan iya tuhan,Negatif
tanpa pengawasan bpk dan kpk darknantara akan mengantarkan indonesia dark sesuai dengan yang wowo sebelumnya bilang kalau indonesia bubar jadi si wowo ini bukan cuma omon omon indonesia bubar tetapi dia juga kerja keras merealisasikan kata katanya,Negatif
namanya channel kok ganti iya sudah lama tidak tengok sih,Negatif
baru kenal diajak nikah terus diminta semua lagi asetnya kata akusi ibuk pertiwi jadi independen women ajalah bu gausah kawin lagi,Netral
presiden paling sakit ternyata yang saat ini,Negatif
indonesia mulai gila,Negatif
kalau tebaktebakan lebih condong ke ending yang ke berkaca dari cerita yang sudahsudah,Netral
danantara adalah lembaga penjaminan keuangan negara dan kestabilan ekonomi dalam negeri tidak perlu diperumit bro,Negatif
emangnya mungkin tidak ada agenda politik duit besar itu ada rumor tidak bisa audit pula oleh lembaga tertentu,Netral
beda tidak bg sama projek mdb malaysa,Negatif
apakah kasus jiwasraya bakalan terulang karena kalau memang demikian iya sudah,Negatif
sebelumnya pertiwi juga pernah berkenalan dengan beberapa pria di antaranya asabro jiwasrayakan taspena dan pria tersebut ternyata busuk saya ragu hal yang sama juga akan di alami pertiwi dengan kenalan barunya kali ini yaitu si dana doa bagus untuk pertiwi semoga kali ini ia berhasil menjalin hubungan yang baik dengan si dana dan semoga si dana adalah jawaban dari doa pertiwi selama ini yang mendambakan sosok yang baik jujur dan juga bertanggung jawab aamiin tapitetapajameragukan,Positif
penghemtan kabinet banyak belum lagi wamen stafsus bergunanya apa memang aneh yang satu ini,Positif
ikn saja mandeg keknya,Netral
kok saya dengernya ngilu iya,Negatif
masyarakat disuruh bayar pajak dan berhenti judol tetapi elit politiknya malah buat kebijakan tolol seperti mbg sama danantara yang belum jelas nilai investasi atau profitabilitasnya potensial gila tangmentang indonesia overpopulasi masyarakat benar dijadiin market banget stlh kmrn main startupan yang jelas scam dan memperkaya golongan lalu sekarang mau pakai uang masyarakat untuk hal yang sifatnya masih proyeksi,Negatif
sangkin gobloknya rakyat mayoritas sampai dikasih segmen bahasa bayi,Positif
terimakasih bapak jokowi dari kami sang oligarki,Positif
minimal kembalikan kpk,Negatif
sebuah pilihan kita ingin stuck atau lebih maju,Netral
saya awam soal ekonomi tetapi ceritanya sangat mudah dipahami terima kasih bang,Positif
mantap bg semangat ngontennya,Positif
selanjutnya mdb keknya ini,Netral
bukan tetapi khazanah atau taemasek,Netral
wah berani banget kamu bang bikin konten beginian jawaban isinya tetapi judulunya kamu berani dibilang plagiat tweet orang warga kandang eisntein lah ini kan tweet saya enak saja dibikin ip,Positif
baru sadar tidak ada close the door nya,Positif
kendala nya indonesia rentan korupsi,Negatif
anak sama pun bakal ngerti dengan penjelasan bg ferry semoga pemegang otoritas tidak termakan kerakusan agar danantara berjalan semestinya,Netral
jadi intinya bukan untuk memperkaya pejabat kan,Netral
berantas pungli saja susah apalagi korupsi pejabat intinya tidak akan jadi seperti temasek holding apalagi jadi seperti blackrock ato vanguard yang swastanya jauh banget melihat sistem politik yang masih gitu saja,Negatif
memang bayi boleh ngomong lancar seperti gini iya,Netral
konten ontol,Netral
endingnya keluarga pertiwi jatuh miskin keknya sih tuh,Negatif
kalau untung hasilnya boleh di korupsi kalau rugi yang di korupsi iya modal triliun itu biar di tutup in semua juga sudah tau kalau konoha hobi nya korup,Negatif
barangsiapa yang tidak suka suatu hal dari pemimpinnya maka hendaklah dia bersabar barangsiapa keluar dari ketaatan pada pemimpinnya maka ia akan mati dalam keadaan jahiliyah hr bukhari,Positif
hadits nomor berapa bang,Netral
​ tu orang tiap komen selalu bawa² agama bang liat saja riwayat komennya mohon paparkan ayat al quran bahwa kuliah boleh membawa kita ke surga,Netral
tl juga dia,Netral
kamu liat saja riwayat komentar dia tipe orang yang ngeluarin argumen yang harusnya non agama malah bawa² agama malu²in agama saya saja duh,Negatif
kalau tidak reply fix buzjer,Negatif
sudah berat kalau bawa hadis ini lagi ngomongin duit bang stay calm nnt kita ngomongin gus miftah lagi,Netral
hadits tersebut boleh didapatkan pada hr bukhari no dan muslim no,Netral
monopoli kok rugi iya,Negatif
kebiasaan lama menjadi watak korupsi di konoha boleh dibilang sudah pasti kalau mnrt saya hokage sekarang ambil langkah radikal untuk nyelamatin konoha dengan tetap memberi makan tikus didalamnya dengan aset sebesar itu angka yang tampil di prosentase berapapun jumlahnya akan fantastis harapannya tikus boleh kenyang di lain sisi keuntungan yang ada dapat menyejahterakan rakyat tetapi resikonya investasi asing akan seret dan bila langkah ini gagal negara boleh kolaps,Netral
liat saja tahun lagi saya yakin pasti ada kasus,Positif
saya yang bodoh ini cuman boleh berdoa semoga orang yang diamanahkan mengelola danantara boleh jujur dan amanah menjalankan tugasnya amin,Positif
jgn hanya doa kan dr gamblangnya konten ini terbuka hal yang bisa dilakukan kamu jaga aset tabungan sendiri tho,Negatif
danatara ini macem mdb seperti di malaysia bukan sih,Negatif
berkaca dari mdb lalusalah satu skandal keuangan terbesardi malaysia uang negara dimasukkan dalam wadah untuk pembiayaan projek strategis negaraujungnya ditilep dibuat filem holiwood ama party orgy apa yakin pmrintah indonesia jauh lebih bertanggung jawab dan transparan dripada malaysiapfffft,Negatif
aku sepertinya dukungdukung saja bang penasaran kalau indonesia ancur tuh bagaimana pemerintah banyak yang mati dibacok tidak yh untung aku sipil,Positif
jos,Netral
serahkan ke papa dana white nanti papa dana bikin match up yang rame biar pay per view nya laku keras,Netral
lagi bang pak dana kalau tidak bener tetep pak dana boleh sangat aman iya,Netral
semoga paham danantara seperti di malaysia yang jadi mega korupsi kalau masih kekeh tidak percaya monggo pelajarin dulu jangan hanya lihat untung ruginya juga harus di ingat yang namanya investasi tunda naik saja pasti bakal ada turunnya,Negatif
ini mirip the fednya us,Negatif
niat baik vs infuelcer skeptis,Netral
daripada bikin terobosan yang bikin rakyat curiga alangkah baiknya si wowo fokus dulu soal bagaimana cara meningkatkan kepercayaan rakyat,Positif
panjang umur perjuangan,Netral
uang yang ngalir di danantara boleh adik di pakai teknologi blokchain,Positif
niscaya cepat atau lambat rakyat akan turun ke jalan lagi bomwaktu,Negatif
masalah kita cuman yaitu koruptor dan mirisnya lagi bahkan masyarakatnya juga kalau dikasih kesempatan pasti ada lah nyomot² gausah jauh² misalnya seperti yang kemaren viral truk minyak yang jatuh dijarah sama warga jadi sekarang yang saya rasa satu²nya cara iya hukum mati koruptor kalau ada komnas ham yang tidak terima mungkin mereka dicekcokin juga tuh buat masang badan hihi,Negatif
resiko sistem hukumnya belum tegas soalnya tau sendiri kpk sudah loyo sekarang,Negatif
danantara nasibnya akan sama seperti dana telkom di goto,Netral
kereeen penjelasan nya standing applause,Positif
masukin bitcoin semua haha,Netral
aman bang penjelasannya dapet analogi yang dipake juga sangat akrab dengan seharihari akhirnya paham apa itu danantara bagus segmennya,Positif
mengelola negara yang lebih besar saja menterinya tidak kopeneten mengelola dana taspen jiwasraya asabri dana haji yang diinvest ke wikadl semuanya gagal lalu menawarkan danatara para bgst koruptor itu tiba jadi malaikat memikirkan rakyat ndasmu waras la,Negatif
kok si ibu jadi bisnisin uang anak anaknya kapan dia kasih makan dan rawat anaknyanih ekpliotasi anak namanya,Positif
aku yakin si dana ini bermasalah tidak jujur gelap dan tidak kompeten si pertiwi dan anak anaknya rawan diporoti sama si dana,Negatif
ketua danantaranya bekas narapidana penyelewengan uang bi ngeri ngeri sedap,Negatif
bahlil penipu bukan,Netral
masalahnya jika dinantara dikelola oleh kelompok oligarki yang korup yang ada kita bakal nyungsep rame maaf saya tidak percaya,Netral
dan kabar baik nya si dana itu finalis occrp,Positif
bajal jadi sapi perah para koruptor ndhas mu lah wo,Negatif
ngeliat track record sistematika legalnya pengelola assetnya spertinya skenario kedua yang terjadi haha,Positif
jangan berharap keadilan di negara yang penduduknya mengaku religius,Positif
tidak kebayang danantara besok mau invest di mana kalau dia invest ke perusahaanproject di luar negeri negara sendiri butuh stimulus pengembangan ekonomi baru invest masih nunggu cuan sudah dikritik sanasini disuruh bantuin dalam negeri kalau invest di dalam negeri mengingat produk mi di saham idx sekitar nya punya peforma perolehan di bawah performa pertumbuhan ihsg belum lagi sekarang ihsg sudah di bawah lagi masa danantara masuk ihsg dengan dalih mumpung ihsg murah ujungnya beli saham bumn lagi belum histori jiwasraya kemarin mau main moderate risk masak beli bonds negara sendiri low risk masak pasar uang saya capek liat project model begini outputnya dari dulu cuman dua either okeoke saja tidak signifikan kontribusinya atau hancur lebur benarbenar butuh pekerja mukjizat danantara ini,Negatif
seperti elia gitu iya bg,Netral
sudah gaada yang boleh dipercaya,Positif
efishery plat merah kah,Netral
sebenarnya tidak masalah cuma masalahnya hukum dan kebijakan kita kek labil dan kabur yang membuat trustissue meningkat dari tahun ketahun tegas kan hukum dan kebijakan yang bagus dulu baru melakukan hal seperti ini adalah jalan yang tepat,Negatif
kuncinya transparasi iya deviden bumn harusnya jadi ketauan berapa diterima danatara penghematan diterima berapa hasil kelola aset negara berapa total aset yang diterima danatara berapa pengen liat saja penerimaan danatara dari aset deviden penghematan berapa investasinya kemana saja jangan jadi kek sekarang rw buat ketahan pangan nanem bahan pangan itu investasi kemana jual nya kemana belum jelas juga terus belum lagi resiko investasi sama danatara harus boleh a kasih gambaran entah itu investasi ke crypto contohnya yang negara besar lagi beli atau terlucunya ternyata uangnya muter di obligasi negara lagi kan lucu judulnya begitu,Positif
kalau benar di dalamnya ada jokowi di jamin tidak akan berhasil apapun agendanya,Positif
sangat mudah dipahami,Positif
aku ragu-ragu ide ini lahir dr prabowo ataupun gurunya mulyono sekalipun antara atm dr negara yang sudah berhasil atau bahkan ide dr siapa itu yang boleh dipastikan tujuannya adalah menguasai sumber kekayaan negara ini yang orientasi nya adalah keuntungannya sendiri,Negatif
megaproyek bancakan nasional,Negatif
masalah kita bukan di sistem gagasan tetapi di integritas dan profesionalitas,Netral
gambling bersekala nasional,Netral
kok bau mainset judole,Netral
selamat om fer untuk segmen baru ini sukses selalu,Positif
wkwkwkwk ibarat kata datang pelakor orang ke memiliki anak anaknya semua minta minta untuk negara berkembang budaya korupsi masih tinggi pertanyaannya layak kah,Negatif
dana danantara pertiwi negara anak perusahaan bumn terus kementerian bumn ngapain,Netral
berapa lama hasilnya boleh dilihat bang,Negatif
efek brainrot gen z selalu merasa insecure hopeles tantrum suka membandingkan walaupun dijelaskan pakai bahasa bayi paling simple tetap ngegas si merasa paling pinter,Positif
ngeri tidak sih der makin gelap,Negatif
yang dikhawatirkan iya benar agenda politik dan korupsi tentu saja jika pemerintahpejabatnya amanah masyarakat pasti akan sejahtera boleh berkaca pada negara dengan index korupsi terckecil lalu kenapa jokowi atau mantan presiden selalu dilibatkan dalam pemerintahan yang baru aneh sekali,Negatif
harus kontrak potong titit sih ini kalau sampai korupsi,Negatif
saya sebagai bayi mulai paham hatur nuhun,Netral
clear dan jelas pak ferry,Positif
ngomongnya temasek realitanya sepertinya akan seperti mdb,Netral
dari kamu bg saya belajar kalau berbicara itu bukan hanya untuk didengarkan tetapi juga untuk menyadarkan ini segmen sangat bagus terkhusus buat saya yang memerlukan pendekatan analogi untuk mengerti suatu hal,Positif
super holding investasi dengan manusia berkompetisi minim dan kuatnya intervensi kepentingan politik itu lebih berpotensi jadi super gambling sih,Positif
tolong pisahkan peran pertiwi dengan kementerian keuangan tadi sekilas masih nyatu yah,Netral
yang tepat adalah efisiensi lembaga inefisiensi anggaran,Netral
tidak mampu membayangkan uang sebanyak itu jika diselewengkan sebab rekam jejak pejabat kita yang korup,Positif
wah berjudi,Negatif
bang menurut saya nih sebagai orang awam kekurangan terbesae dari republik ini adalah lemahnya penegakan aturan dan hukumnya semisal saja penegak peraturannya disemua lini boleh diandalkan maka semua rencana baik kedepan bakalan lebih mungkin terwujud contoh saja semisal saja hukum disini beneran boleh ditegakan tanpa boleh dimanipulasi atau dibayar pasti semua lini bakalan berjalan dengan baik contoh saja yang paling umum deh semisal ladusing itu beneran menindak orang kena tilang tanpa ada kemungkinan disogok pasti masyarakat lama ke lamaan bakalan tertib ko maka dari itu menurutku hal utama yang harus dibenahi adalah instansi penegak aturannya dulu baru nanti ke lembaga lain,Netral
semoga dana embak kanjeng,Positif
realistis saja yang terjadi yang gagal,Netral
peak story telling papa dana sebaiknya bikin meme koin saja terus rugpul kek om argen dari amerika selatan mengingat masih sangat banyak manusia yang berharap untung dari meme coin kripto wkwk,Positif
optimis tidak pula optimis cenderung skeptis agak ngeri ngeri sedap soalnya,Negatif
apakah dua kubu itu sudah berdamai takutnya ada salah satu yang ngerecokin,Netral
jujur bg opiniku cerita ini sulit ditelaah karena harus nyocokin plesetan ke real story itungannya mikir kali belum ngeruntutin kronologisnya,Positif
seiring sejalan hukum harus di pulihkan lekas membaik negriku,Positif
bumn saja terkenal susah dalam pembayaran ke para vendor bang bagaimana mau maju bayak di sumpahin orangorang,Positif
intinya kasus curi dan korupsi harus dihukum tegas dan untuk presiden prabowo anda jangan kebanyakan pidato,Negatif
ini penjelasan sangat mudah di mengerti banget harusnya sih paham yang nontondenger,Positif
negara pemerintahan isinya maling semuakoruptor membabi buta yakin memang berhasil semoga saja amanah yang ngejalanin sistemnya,Negatif
kok seperti kasus mdb,Negatif
memang perandaian ini sangat cocok buat orang banyak dan tentunya relate masyarakatnya pada doyan genre stepdad soalnya,Positif
bagus banget analoginya,Positif
menurut kawankawan kemungkinan terjadi tindakan fraud itu ada dibawah atau diatas,Positif
masalahnya dana adalah tokoh terkorup oocrp,Negatif
kalau saya pribadi meragukan bang karena untuk melakukan itu maka pondasinya itu perlu hukum yang harus harus harus lurus dan tegak seperti singapura ato china dan saat ini hal itu belum nampak menurut saya kumpulan dana yang gemuk akan semakin mengundang tikus koruptor berkumpul dan rame menggerogoti kalau hukum kita masih bgini,Negatif
dark jokesnya titipin duit kamu ke maniak judol,Netral
enggan ngabisin waktu langsung gacir di λdalikλ ini baru benerbener rezeki,Positif
λdalikλ auto mekswin,Netral
simpel dan informatif keren deh saya salute diapersongroup bersedia mengambil peran menjadi penyedia informasi yang boleh dipercaya saran saya dengerin bng ferry kalau ngomong kadang lidahnya keseleo jadi latihan vokal dahulu untuk meminimkan peluangnya rekrut ivan lanin dong terus bikin segmen menjelaskan istilah² rumit yang sering dipakai sebagian orang² dan cara penggunaan nya ini keinginan saya pribadi doang sih karena pikirku bahasa dekat hubungannya dengan komunikasi terima kasih sudah mau ngasi tahu,Positif
pagi tadi coba main di λdalikλ siang sudah menikmati jakpot besar,Positif
hatihati pertiwi dana atau lakilaki di negara ini buruk apa yang kamu kira,Negatif
kamu perampasan aset masih belum disahkan dan masih berani biki kebijakan yang rawan korupsi,Negatif
bagaimana memastikan papa dana tidak akan mengkhianati janjinya kepada ibu pertiwi,Negatif
setiap ada yang rame di twitter selalu ada yang minta jelasin pake bahasa bayi ini saran ke kemendikti atau kampus untuk membuka jurusan baru sastra bayi dan ilmu komunikasi bayi,Positif
dan yang tidak diketahui pertiwi si dana pernah mengelola salah satu project dan gagal misalnya food estate,Netral
lalu ina indonesia investment authority apa kabar bang,Netral
dont trust verify solusinya cuman satu danantara dikelola secara transparasi dengan jaringan blockchain dan harus ada beberapa penanggung jawabnya yang minimal ngerti teknologi jadi bakal kelacak uang itu lari kemana saja terus siapa saja yang jadi penanggung jawabnya kalau memang keliatan ada penyelewengan langsung tangkap tangan sudah easy banget itu,Negatif
permainan uang,Netral
papa dana terdengar seperti mokondo,Positif
resiko paling terbesar kalau gagal boleh jadi disintegrasi,Negatif
kalau di bumn masih banyak korupsi kalau digabung semua jadi masif deh korupsinya…jadi mega korupsi bersih bersih dulu sebelum kerja bareng,Positif
hukuman untuk koruptor cuma segitunya dari segala bentuk dana yang sudah ad di negara ini saja di korup entah karena hukum yang ringan atau peluangnya terlalu besar atau apapun alasannya yang jelas korupsi masih merajalela lalu kita harus optimistis dengan danantara dengan alokasi dana yang di kelola sebesar itu yang mana resiko untung rugi lalu kita harus percaya boleh diolah dengan baik masa iya hukum untuk korupsinya saja cuma penjara atau denda tidak ngembaliin duit atau kerugian negara itu buat yang nyatanyata terbukti jahat loh iya apalagi ini yang resiko ruginya cukup besar ah masa iya saya boleh se optimistis itu ah masa sih,Negatif
mirip mbd tidak kira iya maaf masih awam,Negatif
konsep nya sih bagus tetapi sepertinya tidak ada yang punya kemampuan untuk mengelola itu,Positif
beranda youtube saya sudah atau kali kerefresh tetapi video ini gapernah pindah dipojok kiri paling atas gokil wkwk dan akhirnya saya tonton,Negatif
intinya pemerintah mau gamblingberjudi dengan taruhan negara kita kalau berhasil boleh untung besar ekonomi stabil kalau gagal ekonomi langsung hancur,Negatif
saya mau judoy nih tetapi saya maunya pake duit anak saya kalau untung nanti saya bagi juga ke anak anak saya kalau boncos yaudah,Netral
yang pimpin danantara siapa,Positif
selama negara kita masuk bagus negara terkorup jangan harap si dana boleh jujur ingat guys kasus di malaysia juga rungkad jadinya padahal malaysia negara yang lebih baik untuk masalah korupsinya di banding indohanya karena si dana dekat dengan pemerintah jadi di percaya,Negatif
ngerinya kalau danantara menjadi ajang proyek bancakan,Negatif
cerita yang mudah dipahami bang good,Positif
ini prushaan mnggunakan uang rakyattapi tidak bisa di audit pmrntahini aneh skli,Negatif
coba bahas mdb vs danantara biar keliatan tipu nya dimana saja sejauh ini kebanyakan pemerintah banyak membohongi rakyat apakah dengan danantara ini pemerintah akan bersikap jujur ditengah jalan mandeknya kamu perampasan aset koruptor,Negatif
apakah kasus mdb malaysia akan berulang di indonesia,Negatif
kapan sih indonesia dijajah lagi,Negatif
enggan banyak bicara cuma mau bilang mahasiswa indonesia kalau lulus jadi pengangguran belum lulus demo mulu beban,Negatif
nambahin bangsi dana ini backgroundnya bukan professional yang berpengalaman di bidang investasi tetapi politisi karena denger di struktur organisasinya ada nama jokowiluhutkaesang dlljikaseperti imi bacgrondnya kira resiko berhasil or tdknya danantara tadi aperti apa bang,Positif
sekarang nyaman sudah liat konten mu bang tidak ada watermark si squidward close the door,Positif
danantara cara prabowo dan jokowi kuasai duit bumnhancur duit indonesiajokowi jago hutang dikasi duit bumn entah apa yang terjadi diduit rakyat indonesia nanti,Negatif
boleh tidak kalau danatara itu bersifat perjudiankrn ada ending ny kanbaik dan buruk,Negatif
yes gambling,Netral
sesuatu yang common ternyata serelatif itu segmen yang menarik,Positif
mdb iya bang di malaysia dulu pernah jadi masalah,Negatif
mari besok kita turun ke jalan,Negatif
repot nya negara demokrasi iya seperti begini semuanya pada berkomentar yang belum tentu bikin bangsa ini jadi maju contoh tuh china semua nya manut sama kebijakan pemerintah nya dan terbukti mereka menjadi negara yang sangat maju tidak seperti indonesia yang selalu di ganggu sama masyarakat nya sendiri dengan hal hal yang tidak perlu kita akan selalu di bikin tidak percaya dengan pemerintah dengan cara cara yang halus,Negatif
kalau dana dikelolah olh orang yang berintegritas mungkin bisa iya tetapi kalau orgnya tidak berintegritas malah sama saja tuh ama lembaga lain yang hamcur di indo ini mknya kita terpuruk,Netral
presentasi resiko dan berhasilnya itu berapa persen bang,Positif
apakah itu sama dengan mdb malaysia,Negatif
semoga tidak terjadi lagi skandal asabri dan jiwasraya karena kamu danaantara boleh jadi simalakama di kemudian hari jika terjadi fraud investasi kerugian seperti yang terjadi di asabri dan jiwasraya,Negatif
kasih saya orang pintar saya akan bikin kelas bodoh menjadi pintar semua anjay saya bakal bikin kurikulum paling gila sepanjang masa,Negatif
selain segmen bahasa bayi sebenarny ada kamu segmen orang yang boleh paham tetapi sudah lelah,Netral
betul sekali saya pekerja buruh pabrik masih di level bawahan ketika saya tonton atau lihat materi semacam ini dari berbagai sumber youtuber edukasi malah kesan dan tanggapan nya seperti tak atau enggan tau malah di nasehati sudah kerja yang bener saja biar mikir negara negara tidak bakal mikirin kamu nyari duit terdengar benar tetapi juga miris mereka berjuang cari nafkah tapuli ogah tau masalah dan perkembangan negara dan pemerintahan begitu ada masalah dan ber efek ke buruh akhirnya ngedumel padahal manusia sampai akhir hayat harus terus belajar apapun selama itu positif,Negatif
bank bcamuamalatmegacimbuob dan bank swasta lainnyaakan mengalami jumlah kenaikan nasabah baru yang signifikan,Positif
bacain komennya masih banyak yang optimis ini proyek bakal lancar wkwkwk negara kamu diambang fraud ini jelas gambling begitu gagal dampaknya ke keluarga kamu semua anak istri dulu saya mah ketawa saja wkwkwk punya presiden seperti tidak punya attitude anti diskusi sama masyarakatnya yang ngekritik wkwkwk,Netral
project ini sudah pasti atau masih boleh dijegal kalau sudah pasti musti siap saja merosot tajam tetapi masa sih berani banget buat gambling risk gini,Negatif
awal dari kebangkrutan,Negatif
pertiwi ini memang sangat cantik nah sayangnya etikanya sangat kurang korupsi boros hukum tidak jelas dulu nah khawatirnya i pertiwi dapat suami yang buruk karena tolol dia boleh dapet suami yang kurang ajar dn tak bertanggung jawab setidaknya untuk dpt yang baik si pertiwi ini harus perbaiki etika tingkatkan skil sehingga saat bertindak boleh lebih hati dn tepat sasaran,Negatif
akhirnya skandal besar akan terjadi,Netral
hadir,Netral
intinya iya indonesia seharusnya boleh mandiri pangan energi dulu pertanyaan tahun si mulyono ini ngapain apa sibuk menghipnotis para rakyat kalau dia itu sederhana lalu masalah indonesia selesai semua wkwkwk fuufuufaafa,Negatif
kenapa selalu jadi kebiasaan kalau dianggap bekerja itu harus bikin program atau lembaga baru kan boleh saja program atau lembaga lama dikembangkan,Negatif
terima kasih infonya mas fer,Positif
ekonomi sulit gayanya selangit tidak punya duit tetapi mau niru gaya orang² berduit orang yang defisit anggaran mau niru orang yang surplus anggaran tanpa menimbang hal² lain yang harusnya diprioritaskan,Negatif
